parameter,min,max,ICER_min,ICER_max,ICER_default,GDP
Sensitivity,0.5,1,32622.396850374156,18452.130742088037,22012.697151553435,31364.603448275862
SP9,0.25,0.75,69042.20119085682,9161.016948999031,22012.697151553435,31364.603448275862
Specificity,0.5,1,131214.39720547374,17682.60411955779,22012.697151553435,31364.603448275862
test_cost,1,20,13438.96601012983,31539.06508646854,22012.697151553435,31364.603448275862
vax_cost,10,300,-2279.541082480095,115132.9437153486,22012.697151553435,31364.603448275862
